Kudos Date,Kudos Type,Parent ID
"16 Mar 2017, 16:49:14",Activity,898932147
"2 Apr 2017, 17:12:49",Activity,924996508
"2 Apr 2017, 17:13:01",Activity,924756163
"2 Apr 2017, 21:09:27",Activity,925374265
"8 Apr 2017, 20:39:03",Activity,932844561
"9 Apr 2017, 16:44:10",Activity,934690609
"17 Apr 2017, 16:49:36",Activity,943893586
"17 Apr 2017, 16:49:47",Activity,943610055
"17 Apr 2017, 16:49:50",Activity,939231964
"17 Apr 2017, 16:49:51",Activity,939124336
"22 Apr 2017, 09:57:41",Activity,948788332
"22 Apr 2017, 09:57:42",Activity,951320016
"22 Apr 2017, 21:12:52",Activity,951265316
"22 Apr 2017, 21:12:54",Activity,950608260
"22 Apr 2017, 21:13:20",Activity,948016705
"7 May 2017, 16:40:29",Activity,974788022
"7 May 2017, 19:01:04",Activity,974871975
"12 May 2017, 16:47:11",Activity,981111210
"12 May 2017, 16:47:14",Activity,977959758
"4 Jun 2017, 16:50:17",Activity,1018121114
"4 Jun 2017, 16:50:19",Activity,1020554792
"4 Jun 2017, 16:50:22",Activity,1014176697
"4 Jun 2017, 16:50:22",Activity,1014176511
"4 Jun 2017, 16:50:25",Activity,1013221088
"4 Jun 2017, 16:50:26",Activity,1013211607
"4 Jun 2017, 16:50:30",Activity,1009612388
"4 Jun 2017, 16:50:32",Activity,1006255405
"4 Jun 2017, 16:50:34",Activity,1001615873
"4 Jun 2017, 16:50:38",Activity,995728862
"4 Jun 2017, 16:50:41",Activity,993919314
"18 Jun 2017, 18:14:40",Activity,1042924746
"18 Jun 2017, 18:14:42",Activity,1040513341
"18 Jun 2017, 18:14:43",Activity,1040514270
"16 Jul 2017, 22:30:53",Activity,1086004862
"16 Jul 2017, 22:30:59",Activity,1081421332
"17 Jul 2017, 16:34:22",Activity,1087967671
"5 Aug 2017, 09:56:07",Activity,1104173733
"5 Aug 2017, 09:56:14",Activity,1101315581
"5 Aug 2017, 09:56:15",Activity,1099508883
"5 Aug 2017, 09:56:18",Activity,1104173780
"5 Aug 2017, 09:56:26",Activity,1098310960
"5 Aug 2017, 09:56:26",Activity,1104173692
"20 Aug 2017, 16:39:56",Activity,1129822978
"20 Aug 2017, 16:39:58",Activity,1129502513
"20 Aug 2017, 16:40:00",Activity,1132120269
"20 Aug 2017, 16:40:14",Activity,1125145687
"20 Aug 2017, 16:40:25",Activity,1138083994
"20 Aug 2017, 16:40:29",Activity,1143050270
"20 Aug 2017, 16:40:29",Activity,1143024777
"20 Aug 2017, 16:40:31",Activity,1143025719
"24 Aug 2017, 15:40:30",Activity,1144425266
"24 Aug 2017, 15:40:39",Activity,1138081968
"29 Aug 2017, 20:25:53",Activity,1158671685
"31 Aug 2017, 12:39:12",Activity,1161239838
"31 Aug 2017, 12:39:12",Activity,1161238618
"6 Sep 2017, 19:09:53",Activity,1170022209
"6 Sep 2017, 19:09:54",Activity,1170020073
"10 Sep 2017, 20:14:56",Activity,1175334821
"30 Sep 2017, 12:01:40",Activity,1208244304
"30 Sep 2017, 12:01:46",Activity,1208245020
"30 Sep 2017, 12:01:50",Activity,1208244428
"5 Oct 2017, 13:41:52",Activity,1216117165
"5 Oct 2017, 13:41:55",Activity,1216116705
"5 Oct 2017, 13:41:59",Activity,1215200541
"8 Oct 2017, 13:46:55",Activity,1220854872
"8 Oct 2017, 13:46:56",Activity,1220856345
"14 Oct 2017, 17:43:17",Activity,1229315560
"18 Oct 2017, 19:23:00",Activity,1235909002
"2 Nov 2017, 19:18:03",Activity,1257732371
"2 Nov 2017, 20:25:37",Activity,1257839289
"5 Nov 2017, 15:05:26",Activity,1262223387
"12 Nov 2017, 06:26:58",Activity,1270396865
"13 Nov 2017, 22:11:25",Activity,1272500401
"18 Nov 2017, 23:42:39",Activity,1277533479
"18 Nov 2017, 23:42:40",Activity,1277532595
"18 Nov 2017, 23:42:50",Activity,1278939111
"18 Nov 2017, 23:42:52",Activity,1278940105
"19 Nov 2017, 12:53:46",Activity,1281778402
"19 Nov 2017, 12:53:47",Activity,1281643156
"28 Nov 2017, 11:48:29",Activity,1287083380
"28 Nov 2017, 11:48:31",Activity,1287083509
"6 Jan 2018, 15:25:04",Activity,1343402292
"10 Jan 2018, 23:22:36",Activity,1349931111
"13 Jan 2018, 09:38:13",Activity,1353074745
"6 Feb 2018, 08:18:23",Activity,1391120906
"22 Feb 2018, 20:32:31",Activity,1420387863
"22 Feb 2018, 20:32:31",Activity,1420354476
"22 Feb 2018, 20:33:13",Activity,1416828507
"25 Feb 2018, 18:23:58",Activity,1425139615
"27 Feb 2018, 19:15:13",Activity,1426961805
"27 Feb 2018, 19:15:14",Activity,1427006182
"10 Mar 2018, 22:08:24",Activity,1443878432
"10 Mar 2018, 22:08:48",Activity,1444959561
"10 Mar 2018, 22:08:51",Activity,1442431584
"10 Mar 2018, 22:08:59",Activity,1440837744
"13 Mar 2018, 16:46:50",Activity,1449067288
"16 Mar 2018, 16:19:01",Activity,1450691117
"27 Mar 2018, 15:16:43",Activity,1468902528
"27 Mar 2018, 15:16:54",Activity,1465623394
"8 Apr 2018, 21:55:32",Activity,1493724644
"15 Apr 2018, 19:31:15",Activity,1507622253
"18 Apr 2018, 16:47:53",Activity,1515888492
"18 Apr 2018, 16:47:55",Activity,1515399656
"20 Apr 2018, 12:44:20",Activity,1517965155
"20 Apr 2018, 12:44:31",Activity,1517814916
"27 Apr 2018, 11:56:09",Activity,1534459170
"27 Apr 2018, 14:05:44",Activity,1533538902
"29 Apr 2018, 16:41:58",Activity,1538601947
"29 Apr 2018, 16:42:08",Activity,1536439046
"2 May 2018, 08:38:56",Activity,1540712757
"6 May 2018, 12:34:13",Activity,1549247860
"6 May 2018, 12:34:43",Activity,1553159064
"12 May 2018, 20:18:50",Activity,1566498449
"12 May 2018, 20:52:02",Activity,1566202350
"14 May 2018, 11:39:11",Activity,1571096707
"14 May 2018, 18:38:54",Activity,1571930641
"16 May 2018, 18:38:03",Activity,1575587737
"16 May 2018, 18:38:07",Activity,1575584343
"17 May 2018, 18:03:44",Activity,1577479521
"17 May 2018, 18:03:44",Activity,1577477242
"17 May 2018, 18:03:45",Activity,1577476023
"17 May 2018, 18:04:03",Activity,1577272841
"21 May 2018, 22:26:39",Activity,1586209764
"21 May 2018, 22:26:44",Activity,1582839357
"24 May 2018, 21:24:54",Activity,1592743339
"24 May 2018, 21:25:00",Activity,1590674764
"24 May 2018, 21:25:01",Activity,1590670036
"24 May 2018, 21:25:33",Activity,1590979280
"26 May 2018, 20:46:04",Activity,1596734941
"26 May 2018, 20:46:14",Activity,1597924924
"26 May 2018, 20:46:33",Activity,1594668288
"26 May 2018, 20:46:35",Activity,1596436918
"27 May 2018, 18:39:23",Activity,1599327635
"28 May 2018, 15:35:04",Activity,1601241237
"28 May 2018, 15:35:06",Activity,1601555678
"28 May 2018, 15:35:13",Activity,1601340647
"30 May 2018, 09:58:42",Activity,1604260751
"2 Jun 2018, 15:00:10",Activity,1609759206
"2 Jun 2018, 15:00:13",Activity,1609741826
"2 Jun 2018, 15:00:14",Activity,1609740046
"2 Jun 2018, 15:00:36",Activity,1606308136
"3 Jun 2018, 21:37:53",Activity,1615271968
"3 Jun 2018, 21:37:56",Activity,1613823185
"3 Jun 2018, 21:38:02",Activity,1614847186
"5 Jun 2018, 08:49:01",Activity,1616309122
"5 Jun 2018, 21:20:24",Activity,1618902557
"5 Jun 2018, 21:20:37",Activity,1618672715
"7 Jun 2018, 18:53:43",Activity,1620650457
"7 Jun 2018, 18:53:44",Activity,1620651614
"7 Jun 2018, 18:53:45",Activity,1620658361
"7 Jun 2018, 18:53:48",Activity,1623572783
"7 Jun 2018, 18:54:08",Activity,1621456592
"8 Jun 2018, 17:02:39",Activity,1624709759
